#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
23.6303975976071,-8.57943005275775,23.6303411,-8.5793772,18.35667,662,52147,536,0.06687447,76.06028,91.83575,313.0434,80.93188,13.831,13.62,9.882,0.2110004,3.738
359.358394373662,14.4768408336437,359.3584313,14.4767305,19.60125,749,52226,27,0.026699,171.6647,80.4659,247.0764,27.32097,15.054,14.962,12.077,0.09200001,2.885
1.18621345983576,15.7841612610709,1.1861352,15.7842015,19.38488,751,52251,384,0.08137207,13.2458,37.69281,152.5233,47.87465,14.405,14.293,11.043,0.1119995,3.25
16.0081940623564,-10.6632020073136,16.0081392,-10.6630922,19.42435,658,52146,51,0.08874416,305.1134,186.0219,635.9985,93.82681,15.663,15.564,11.522,0.09899998,4.042
17.6839264356977,-10.6148951685124,17.6838643,-10.6148311,17.86155,659,52199,51,0.08394809,153.0294,87.06292,419.4463,234.0626,13.232,12.723,9.326,0.5090008,3.396999
10.5145195017252,-10.5241062602907,10.5143998,-10.5241267,20.07858,655,52162,179,0.05326204,38.66481,30.30351,113.2017,18.45333,15.682,15.233,12.032,0.4490004,3.201
13.8599803344886,-9.99745778870705,13.8599025,-9.9972003,19.06019,657,52177,115,0.03659094,100.8142,96.51594,466.9989,102.7323,14.388,13.942,10.412,0.4459991,3.530001
14.1025913640272,-9.94193638436716,14.1026013,-9.94184,19.53996,658,52146,279,0.05247492,23.0482,68.90942,276.2241,75.46593,14.898,14.735,10.985,0.1630001,3.75
10.2224505701773,-9.73411747082997,10.2223905,-9.7341379,19.79202,655,52162,198,0.0799265,18.65338,37.6331,137.5398,41.5207,15.04,14.808,11.837,0.2320004,2.971
17.4709280039509,-9.53349350505405,17.4708969,-9.5334371,19.10497,659,52199,553,0.1508786,48.18303,84.30778,419.3073,142.5685,14.269,13.847,9.871,0.4219999,3.976
21.0777504229278,-9.21941858896557,21.0778111,-9.2192777,19.80849,661,52163,490,0.1065205,8.343511,49.35371,178.0456,61.5031,14.918,14.503,10.779,0.415,3.724
13.4380822028682,-9.10978119158355,13.438045,-9.1097693,18.29109,657,52177,498,0.01885554,91.09948,181.8135,667.0755,200.2375,13.148,13.019,9.099,0.1289997,3.92
14.7795096677032,-9.14269106325246,14.7794996,-9.142688,20.04472,658,52146,375,0.01956098,32.04757,22.38666,0,0,15.171,14.904,12.16,0.2669992,2.744
13.400478366561,-8.82506350672171,13.4004928,-8.8249798,18.76645,657,52177,445,0.09557443,27.49566,39.72513,129.5983,43.2855,14.157,14.118,11.505,0.03899956,2.613
3.70009309607769,14.4532349319066,3.7002122,14.4532368,19.67804,752,52251,167,0.04279918,24.40248,50.04841,182.2856,49.69009,14.882,14.587,11.538,0.2950001,3.049
12.5525795158048,14.3950366903373,12.552496,14.394944,18.32979,419,51879,26,0.05635977,30.9591,16.28883,53.56254,30.84676,13.898,13.854,11.327,0.04399967,2.527
14.3984277353958,14.1838858369311,14.3984558,14.1835825,18.60692,421,51821,278,0.05690125,21.06921,80.31227,511.4187,207.799,12.971,12.711,8.789,0.2599993,3.922001
16.1749645367451,14.2158408640511,16.1749226,14.2158585,19.56731,421,51821,65,0.2267599,75.66813,96.26318,425.2079,156.4935,15.757,14.981,10.773,0.776,4.208
19.3194990557348,14.4282798226762,19.3195005,14.4283321,19.02183,423,51821,116,0.06004902,27.73567,64.81132,275.3645,87.53469,14.183,14.021,10.28,0.1619997,3.741
21.3596734723857,14.3749772357206,21.3596208,14.3749871,18.48673,424,51893,68,0.1727759,116.6284,216.4126,955.9008,345.6532,14.47,13.913,9.528,0.5570002,4.385
25.4703236739284,13.9012503301295,25.4702207,13.9013826,19.10116,429,51820,360,0.09647951,17.76169,65.95432,294.8537,100.2638,14.589,14.381,10.504,0.2080002,3.877
27.2832309634233,13.7431615537853,27.2834593,13.7435186,18.1227,429,51820,112,0.07138601,11.54561,25.82846,137.0615,54.92519,13.361,13.238,10.073,0.1230001,3.165
30.3875965410638,13.5240130508993,30.3875675,13.5240953,18.53117,427,51900,166,0.09784827,26.22689,79.78429,355.7353,158.5845,13.79,13.512,10.007,0.2779999,3.505
4.74748832031219,15.7271314631465,4.7474731,15.7271622,18.54839,753,52233,337,0.1752586,150.6897,51.11599,309.3914,227.9569,14.488,13.921,10.305,0.5670004,3.615999
14.2079470785768,15.5147189537413,14.2079344,15.5148065,17.99444,420,51871,547,0.07579467,22.43222,100.0613,453.8183,216.5866,13.401,13.277,10.117,0.1239996,3.160001
0.516313063274765,15.0551382859123,0.5161793,15.0551165,18.69772,750,52235,551,0.09471482,25.92831,92.49495,483.4622,201.2766,12.942,12.661,8.653,0.2810001,4.008
19.2985527839172,13.3409416899062,19.2985108,13.3409491,17.07723,423,51821,83,0.04833675,31.73946,71.3907,318.2782,169.4985,12.323,12.287,9.335,0.03600025,2.952
